iter	RMSE
0	13.69735908
1	13.4397399
2	13.19226411
3	12.94761119
4	12.71086153
5	12.4896571
6	12.26780126
7	12.05248953
8	11.84735588
9	11.6450622
10	11.44932134
11	11.25984068
12	11.07646846
13	10.89905544
14	10.72942801
15	10.56630775
16	10.40698098
17	10.25271878
18	10.10192452
19	9.957530772
20	9.816668512
21	9.680026897
22	9.548436739
23	9.422155802
24	9.297541766
25	9.179151212
26	9.064565435
27	8.954249386
28	8.847786871
29	8.745240271
30	8.64626786
31	8.54795507
32	8.453712468
33	8.362871686
34	8.276892784
35	8.194574262
36	8.115436845
37	8.034062275
38	7.959924563
39	7.887794977
40	7.819835876
41	7.752416456
42	7.688529036
43	7.62573678
44	7.562952924
45	7.505642148
46	7.449873553
47	7.39820948
48	7.348688545
49	7.296407049
50	7.249298906
51	7.203426819
52	7.161471118
53	7.121298882
54	7.082842214
55	7.046035199
56	7.010813895
57	6.97711631
58	6.943395577
59	6.912520902
60	6.878764466
61	6.845617114
62	6.816333227
63	6.785722618
64	6.756461275
65	6.730473943
66	6.703231155
67	6.68032173
68	6.657294274
69	6.635211359
70	6.614036358
71	6.595717306
72	6.575647368
73	6.556456422
74	6.53744885
75	6.520256839
76	6.505585797
77	6.491584385
78	6.474006549
79	6.457293621
80	6.443218943
81	6.429316932
82	6.41354274
83	6.398431809
84	6.384599618
85	6.373127061
86	6.362089919
87	6.351509731
88	6.341749119
89	6.329657403
90	6.320287906
91	6.310906532
92	6.303761582
93	6.293427782
94	6.285094567
95	6.275528985
96	6.266164958
97	6.260437186
98	6.254975684
99	6.247975343
100	6.241035258
101	6.235283182
102	6.229470773
103	6.2233484
104	6.217997861
105	6.211520075
106	6.207720932
107	6.204098325
108	6.200017239
109	6.196718659
110	6.191643342
111	6.188342565
112	6.184338958
113	6.181599347
114	6.177878739
115	6.175101334
116	6.170004757
117	6.167721357
118	6.162932103
119	6.160843994
120	6.158852192
121	6.155689592
122	6.15232325
123	6.149625153
124	6.147036233
125	6.144552
126	6.142304037
127	6.140400252
128	6.138782584
129	6.13515583
130	6.13250712
131	6.131317197
132	6.130156097
133	6.126872711
134	6.125808815
135	6.124007469
136	6.120969637
137	6.119843524
138	6.118217203
139	6.116655204
140	6.115154919
141	6.112718825
142	6.111968284
143	6.110450209
144	6.108994493
145	6.105711497
146	6.105085111
147	6.103768478
148	6.103195491
149	6.102647733
150	6.101433053
151	6.100389766
152	6.098586108
153	6.098126955
154	6.097052501
155	6.093998344
156	6.092748529
157	6.091040352
158	6.089124808
159	6.088200267
160	6.087317658
161	6.085803733
162	6.083893553
163	6.082852243
164	6.082438971
165	6.081772768
166	6.081507688
167	6.081126586
168	6.080505892
169	6.08014913
170	6.078585544
171	6.078253092
172	6.076997128
173	6.075798516
174	6.075608414
175	6.073925634
176	6.073331305
177	6.073060169
178	6.071960015
179	6.070681696
180	6.070533461
181	6.070307885
182	6.070171306
183	6.069531846
184	6.069404988
185	6.067191929
186	6.066252714
187	6.065708945
188	6.065599453
189	6.065418308
190	6.06455025
191	6.06400359
192	6.063576836
193	6.063222764
194	6.063045895
195	6.06258498
196	6.062204092
197	6.06198658
198	6.061612536
199	6.061263742
200	6.060053373
201	6.059394454
202	6.057861021
203	6.057795589
204	6.057600505
205	6.056744342
206	6.056422816
207	6.055786025
208	6.055048307
209	6.054923081
210	6.054183274
211	6.053706558
212	6.05342197
213	6.052740065
214	6.052628143
215	6.052364464
216	6.052168626
217	6.05167305
218	6.051585327
219	6.050968228
220	6.05092743
221	6.050461523
222	6.050364576
223	6.049320066
224	6.048770487
225	6.048527748
226	6.048492356
227	6.0480931
228	6.04767624
229	6.04727633
230	6.047244173
231	6.047051361
232	6.046112945
233	6.046082964
234	6.045715446
235	6.045341918
236	6.04500794
237	6.044706211
238	6.044540031
239	6.044379878
240	6.044029614
241	6.043692534
242	6.043667231
243	6.043399651
244	6.043336165
245	6.043125771
246	6.042624225
247	6.042314618
248	6.042256595
249	6.041827817
250	6.041759142
251	6.041737715
252	6.041408747
253	6.041388076
254	6.040917367
255	6.040614964
256	6.040328464
257	6.040263332
258	6.040156234
259	6.04000326
260	6.039738909
261	6.039597114
262	6.039330835
263	6.039075467
264	6.039058144
265	6.038813531
266	6.038594541
267	6.03847745
268	6.038225822
