iter	Passed	Remaining
0	207	113749
1	228	62621
2	255	46602
3	281	38395
4	306	33407
5	342	31093
6	362	28147
7	388	26315
8	413	24875
9	440	23761
10	461	22627
11	482	21617
12	503	20786
13	523	20056
14	550	19619
15	581	19415
16	607	19043
17	632	18708
18	654	18291
19	682	18074
20	702	17699
21	741	17790
22	763	17491
23	789	17312
24	817	17158
25	843	16999
26	869	16833
27	914	17055
28	941	16906
29	963	16706
30	998	16724
31	1039	16830
32	1077	16874
33	1105	16779
34	1134	16693
35	1156	16511
36	1177	16323
37	1204	16229
38	1231	16134
39	1263	16107
40	1284	15946
41	1311	15859
42	1338	15784
43	1366	15719
44	1399	15707
45	1438	15760
46	1470	15740
47	1491	15599
48	1511	15457
49	1537	15378
50	1563	15299
51	1595	15276
52	1615	15152
53	1636	15029
54	1657	14918
55	1678	14805
56	1698	14694
57	1719	14586
58	1745	14525
59	1765	14416
60	1796	14404
61	1823	14353
62	1851	14309
63	1884	14313
64	1922	14346
65	1949	14293
66	1974	14236
67	1996	14149
68	2028	14138
69	2056	14098
70	2084	14065
71	2105	13980
72	2128	13907
73	2160	13899
74	2192	13886
75	2218	13835
76	2238	13749
77	2258	13667
78	2290	13654
79	2329	13684
80	2358	13656
81	2391	13648
82	2428	13663
83	2460	13651
84	2488	13614
85	2515	13574
86	2550	13573
87	2577	13533
88	2605	13494
89	2644	13514
90	2671	13474
91	2692	13406
92	2714	13337
93	2747	13325
94	2768	13261
95	2809	13284
96	2837	13249
97	2859	13189
98	2882	13133
99	2921	13148
100	2961	13165
101	2986	13115
102	3015	13087
103	3055	13103
104	3085	13075
105	3115	13048
106	3136	12987
107	3158	12925
108	3185	12889
109	3206	12827
110	3235	12797
111	3263	12762
112	3291	12727
113	3311	12666
114	3338	12628
115	3365	12591
116	3399	12580
117	3420	12521
118	3454	12512
119	3476	12456
120	3502	12416
121	3523	12361
122	3550	12325
123	3576	12287
124	3602	12248
125	3629	12213
126	3656	12179
127	3683	12145
128	3710	12109
129	3743	12095
130	3775	12076
131	3801	12037
132	3821	11980
133	3853	11961
134	3875	11912
135	3902	11878
136	3935	11862
137	3962	11831
138	3989	11797
139	4017	11764
140	4047	11741
141	4075	11710
142	4098	11664
143	4119	11616
144	4140	11565
145	4179	11565
146	4204	11525
147	4224	11474
148	4244	11424
149	4265	11374
150	4286	11326
151	4312	11292
152	4339	11260
153	4360	11213
154	4381	11165
155	4414	11150
156	4442	11119
157	4470	11091
158	4498	11062
159	4532	11047
160	4554	11004
161	4585	10982
162	4629	10991
163	4672	10996
164	4696	10958
165	4729	10939
166	4751	10897
167	4779	10867
168	4815	10855
169	4848	10838
170	4881	10818
171	4910	10792
172	4938	10761
173	4966	10731
174	4990	10693
175	5026	10681
176	5051	10645
177	5082	10621
178	5110	10592
179	5138	10562
180	5160	10519
181	5182	10478
182	5205	10438
